Shortest distances from landmark node 13304:
To node 15071: 4
To node 1517: 2
To node 35401: 4
To node 49564: 4
To node 13793: 3
To node 9335: 3
To node 33388: 3
To node 32663: 3
To node 45738: 4
To node 23728: 3
To node 6025: 2
To node 27021: 3
To node 46822: 3
To node 56303: 4
To node 32116: 3
To node 47165: 4
To node 13564: 3
To node 43763: 4
To node 2046: 2
To node 19276: 3
To node 27668: 3
To node 36174: 4
To node 1098: 2
To node 51973: 7
To node 11962: 4
To node 54619: 5
To node 35357: 3
To node 18848: 2
To node 15939: 3
To node 21010: 2
To node 50112: 4
To node 46788: 3
To node 18460: 3
To node 35208: 4
To node 16975: 3
To node 16455: 3
To node 9305: 3
To node 52484: 4
To node 23058: 3
To node 8913: 3
To node 8743: 2
To node 24518: 3
To node 14342: 3
To node 4807: 2
To node 27745: 4
To node 23595: 3
To node 43595: 4
To node 17954: 3
To node 31819: 3
To node 5972: 2
To node 2826: 2
To node 51658: 4
To node 48449: 4
To node 39969: 4
To node 33734: 3
To node 44138: 4
To node 56957: 5
To node 37768: 4
To node 30736: 3
To node 44430: 4
To node 35903: 3
To node 53127: 4
To node 16632: 3
To node 48862: 4
To node 46926: 3
To node 12317: 3
To node 3246: 2
To node 26333: 3
To node 18179: 3
To node 52237: 5
To node 51103: 6
To node 50865: 4
To node 54538: 5
To node 31430: 3
To node 52826: 4
To node 2640: 2
To node 55476: 5
To node 57479: 6
To node 37724: 4
To node 11370: 3
To node 37022: 3
To node 24464: 3
To node 1421: 2
To node 9022: 2
To node 10109: 3
To node 12313: 3
To node 56992: 5
To node 47883: 4
To node 14813: 3
To node 31239: 3
To node 10323: 3
To node 7625: 3
To node 34485: 3
To node 43048: 4
To node 37023: 3
To node 16578: 3
To node 25925: 3
To node 31411: 3
To node 4464: 3
To node 19473: 3
To node 43707: 4
To node 32609: 3
To node 52038:No path exists
To node 31310: 4
To node 45973: 4
To node 25974: 4
To node 48028: 4
To node 55264: 5
To node 48311: 4
To node 10676: 3
To node 15197: 3
To node 44923: 4
To node 49858: 4
To node 31763: 3
To node 19818: 3
To node 49095: 4
To node 10301: 3
To node 46303: 4
To node 33038: 3
To node 44626: 3
To node 61: 1
To node 53015: 4
To node 46972: 4
To node 27328: 3
To node 30608: 4
To node 39986: 4
To node 38472: 4
To node 32882: 3
To node 49203: 4
To node 46058: 4
To node 9295: 3
To node 22139: 3
To node 39428: 3
To node 4064: 3
To node 6236: 2
To node 40777: 4
To node 57285: 5
To node 16633: 3
To node 4181: 3
To node 20800: 3
To node 34700: 3
To node 41630: 3
To node 2864: 2
To node 21839: 3
To node 45104: 4
To node 24702: 3
To node 45289: 4
To node 57994: 6
To node 38300: 4
To node 8960: 3
To node 28859: 3
To node 21153: 3
To node 56914: 5
To node 38989: 4
To node 56477: 5
To node 6747: 2
To node 3842: 3
To node 15997: 3
To node 49258: 4
To node 44785: 4
To node 18660: 3
To node 5971: 2
To node 3859: 3
To node 47862: 4
To node 10627: 3
To node 35398: 3
To node 18438: 3
To node 11966: 3
To node 32257: 3
To node 36152: 4
To node 7716: 2
To node 21511: 3
To node 19441: 3
To node 42661: 5
To node 25383: 3
To node 24494: 4
To node 31224: 3
To node 16138: 2
To node 2209: 2
To node 37733: 4
To node 38443: 3
To node 12997: 3
To node 48731: 4
To node 34075: 3
To node 17948: 3
To node 33526: 3
To node 5170: 2
To node 22340: 3
To node 49500: 4
To node 36657: 3
To node 54578: 5
To node 1834: 1
To node 40667: 4
To node 14945: 3
To node 38049: 3
To node 45267: 4
To node 7708: 3
To node 5693: 2
To node 37818: 4
To node 35900: 3
To node 13144: 5
To node 7509: 3
To node 49692: 4
To node 14582: 3
To node 23506: 3
To node 19257: 2
To node 28557:No path exists
To node 42590: 4
To node 41349: 4
To node 32166: 3
To node 52605: 4
To node 21477: 2
To node 56040: 5
To node 15211: 3
To node 15033: 3
To node 43583: 5
To node 12021: 3
To node 58095: 7
To node 37927: 4
To node 20930: 3
To node 55823: 4
To node 30437: 3
To node 54815: 5
To node 13449: 3
To node 55254: 5
To node 56962: 5
To node 23021: 3
To node 39572: 3
To node 28903: 3
To node 26877: 3
To node 57239: 5
To node 57058: 5
To node 40239: 3
To node 30873: 4
To node 16771: 3
To node 47119: 4
To node 57984: 7
To node 23281: 3
To node 1886: 2
To node 29155: 3
To node 9628: 3
Shortest distances from landmark node 3:
To node 3: 0
To node 29694: 3
To node 30944: 4
To node 43630: 3
To node 14153: 2
To node 25623: 3
To node 52678: 4
To node 28491: 3
To node 43185: 3
To node 25155: 3
To node 26132: 3
To node 32466: 3
To node 55941: 5
To node 36314: 3
To node 6353: 2
To node 30425: 4
To node 8519: 3
To node 23096: 3
To node 16611: 3
To node 32577: 4
To node 8936: 2
To node 26787: 3
To node 693: 3
To node 49486: 4
To node 56630: 5
To node 43083: 3
To node 7349: 2
To node 22666: 3
To node 8949: 2
To node 15475: 3
To node 41524: 4
To node 5138: 3
To node 25557: 3
To node 39678: 3
To node 29210: 4
To node 47717: 4
To node 3546: 3
To node 24368: 3
To node 4217: 3
To node 41962: 4
To node 20569: 3
To node 20262: 4
To node 44213: 3
To node 15332: 3
To node 39421: 3
To node 45415: 4
To node 49919: 4
To node 34303: 4
To node 6448: 2
To node 8767: 3
To node 20776: 3
To node 57267: 6
To node 27482: 3
To node 46663: 4
To node 23828: 3
To node 47953:No path exists
To node 24804: 3
To node 34840: 3
To node 14102: 3
To node 55171: 5
To node 55877: 6
To node 24402: 3
To node 50007: 4
To node 23134: 3
To node 22539: 3
To node 5846: 3
To node 29: 2
To node 29426: 3
To node 10271: 2
To node 14138: 2
To node 46142: 4
To node 56300: 5
To node 28628: 4
To node 7333: 3
To node 15400: 3
To node 11857: 3
To node 5519: 3
To node 38436: 4
To node 46735: 4
To node 14129: 2
To node 43592: 3
To node 48914: 4
To node 12265: 2
To node 39534: 4
To node 21185: 3
To node 20542: 3
To node 39816: 3
To node 18321: 3
To node 4982: 2
To node 37925: 4
To node 55357: 5
To node 37774: 3
To node 31478: 3
To node 21944: 3
To node 29926: 4
To node 37868: 3
To node 54728: 4
To node 23160: 3
To node 14695: 3
To node 22840: 3
To node 46462: 4
To node 35224: 4
To node 38561: 4
To node 42111: 4
To node 34333: 3
To node 26237: 3
To node 57235: 6
To node 46236: 5
To node 48337: 4
To node 23334: 3
To node 25540: 3
To node 28323: 3
To node 19313: 3
To node 35496: 4
To node 20957: 3
To node 18047: 3
To node 52130: 4
To node 7650: 2
To node 47751: 4
To node 21985: 4
To node 18056: 3
To node 19241: 3
To node 37020: 4
To node 57901: 6
To node 23566: 3
To node 1156: 2
To node 19305: 3
To node 46347: 4
To node 25634: 3
To node 53822: 5
To node 7685: 2
To node 29678: 4
To node 15258: 3
To node 13443: 3
To node 29127: 3
To node 9340: 2
To node 6558: 3
To node 28500: 4
To node 10126: 2
To node 53167: 4
To node 50655: 4
To node 28064: 4
To node 27801: 4
To node 15796: 3
To node 22844: 3
To node 13591: 4
To node 25011: 3
To node 49639: 4
To node 51585: 4
To node 20345: 3
To node 12781:No path exists
To node 3222: 2
To node 38610: 4
To node 54481:No path exists
To node 33993: 3
To node 19582: 3
To node 6285: 2
To node 36186: 4
To node 28858: 4
To node 42238: 6
To node 14284: 2
To node 12677: 2
To node 19588: 3
To node 21297: 3
To node 36248: 3
To node 40822: 4
To node 11019: 2
To node 23647: 3
To node 18753: 3
To node 50452: 4
To node 56378: 5
To node 8910: 2
To node 34226: 3
To node 51465: 4
To node 37929: 4
To node 5642: 3
To node 30347: 3
To node 949: 3
To node 669: 4
To node 45466: 5
To node 26025: 3
To node 11507: 2
To node 26874: 3
To node 55066: 5
To node 10259: 2
To node 17631: 3
To node 41331: 5
To node 21811: 3
To node 18944: 3
To node 44911: 3
To node 28212: 4
To node 50521: 4
To node 50621: 4
To node 48257: 4
To node 14547: 2
To node 52390: 4
To node 13262: 3
To node 28145:No path exists
To node 32617: 3
To node 40914: 4
To node 57867: 6
To node 47041: 4
To node 38810: 3
To node 43654: 5
To node 25484: 3
To node 5504: 3
To node 26916: 4
To node 55933: 5
To node 31568: 3
To node 55350: 5
To node 13967: 3
To node 29279: 3
To node 48861: 4
To node 51469: 4
To node 33206: 3
To node 46062: 4
To node 4869: 3
To node 11469: 3
To node 52640: 5
To node 42078: 4
To node 39288: 3
To node 1641: 2
To node 25843: 3
To node 8720: 3
To node 51394:No path exists
To node 15402: 3
To node 26537: 3
To node 3007: 2
To node 8173: 2
To node 11139: 2
To node 32920: 4
To node 26810: 3
To node 39226: 3
To node 2654: 2
To node 54486: 4
To node 16349: 3
To node 19759: 3
To node 56728: 5
To node 24082: 3
To node 14496: 2
To node 47516: 4
To node 15261: 3
To node 8527: 3
To node 3879: 3
To node 41935: 3
To node 53998: 4
To node 5054: 3
To node 16925: 3
To node 13471: 3
To node 50210: 4
